"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_PROSTANOID_METABOLIC_PROCESS",0.0757328990228013,0.19224002495693,-0.474827882579643,-1.39392720324969,371,26,"Cyp6a2;Fbp2;Su(P);Vha55;GstS1;Cyp6a9;Cyp9c1;Plap;Cyp28a5"
"GOBP_CELL_SURFACE_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.0760603588907015,0.192325292541021,-0.451949352569121,-1.38076242918244,372,31,"cact;Pkc98E;ref(2)P;pll;Dif;stumps;Pi3K21B;Tsf1;IKKbeta;galectin;CG11374;CG13392;Wdfy2;Myd88;Tsf3"
"GOBP_LAMELLIPODIUM_ASSEMBLY",0.0760463745333071,0.192325292541021,0.415492720390514,1.35320473698692,386,44,"Hsp83;sn;Ptp10D;Gel;Rac1;dock;Arp2;Rac2;RtGEF;Abi;WASp;PlexB;Eph;myo"
"GOBP_MUSCLE_HYPERTROPHY",0.076093351637576,0.192325292541021,0.412770174637234,1.35216596760183,387,45,"Jra;pho;Pkc53E;pnr;Zw;N;Pp2B-14D;Mlp84B;HDAC1;Smox;Rok;myo"
"GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY",0.0759232514957706,0.192325292541021,-0.384036618537369,-1.32625788120984,367,56,"mnd;trc;gig;eIF4E1;snRNP-U1-70K;eIF4G1;Oamb;Roc1a;Tsc1;Madm;Usp30;raptor;Rubicon;Ubqn;CG1812;Tspo;Vps13;RagC-D;CG12384;wash;CG13016"
"GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION",0.0758323057953144,0.192325292541021,-0.372831750890858,-1.31999826264431,368,64,"cact;RpS3;skd;Su(var)2-10;Tbp;bs;slbo;Taf1;Taf5;Taf6;TfIIA-L;Taf12;Rel;Ssb-c31a;MED6;Taf10b;MED18;MED15;Ercc1;Rpt4"
"GOBP_CELLULAR_RESPONSE_TO_RADIATION",0.076290355747481,0.192400249886479,-0.338063184162673,-1.28551454689191,370,98,"aurA;grn;Hsf;mei-9;Blm;spn-A;sr;mys;Xpc;CycD;Taf1;l(2)efl;Irbp;Set;Drip;Rh6;Nmt;Pi3K21B;Clk;Roc1a;Timp;Hus1-like;Mtch;Ercc1;Nep1;Gbeta5"
"GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",0.0763239875389408,0.192400249886479,0.374787433262975,1.31680518534646,391,64,"Appl;cv-2;dpp;Galphai;Jra;Raf;Pkc53E;Ras85D;rl;N;Ptp69D;sty;Lgr1;Actbeta;CG2082"
"GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS",0.0761886204208885,0.192400249886479,0.319453866287983,1.25836121584932,390,128,"bru1;aub;Hrb98DE;Fib;Pkc53E;pum;me31B;Pabp2;Ref1;Mlh1;E2f1;MAPk-Ak2;Psi;Nlp;angel;pcm;p38b;Irp-1A;Adar;Rok;Dgp-1;Nab2;Fmr1;Trf4-1;Upf1;CG5877"
"GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION",0.0763845995470455,0.192400249886479,-0.391710171495845,-1.3328914457644,370,52,"nAChRbeta1;Cam;cn;dor;dsh;Wnt2;Syn;TkR99D;Rap1;Mef2;CASK;Cdk5"
"GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS",0.0764883955600404,0.192496886003113,-0.496490098295917,-1.40521718331452,378,22,"Gal;Stt3B;Edem1;LManII;AdamTS-B;Edem2;Pngl;CG18278;CG7402;beta-Man;Sgsh;Oga"
"GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",0.0766495456341367,0.192608914456216,0.472684613923593,1.38256001623074,387,27,"brm;Dab;Rho1;HDAC1;wun;Pkn;Sirt1;HDAC6;Fkbp59"
"GOBP_CHONDROCYTE_DIFFERENTIATION",0.0767293160240264,0.192608914456216,0.384568467921879,1.32912420261972,395,58,"Pkg21D;dpp;Dr;for;tj;run;so;tkv;CrebA;bap;Wnt5;Gel;Dad;gbb;p38b;Smox;Gmap"
"GOBP_REGULATION_OF_NUCLEAR_DIVISION",0.0767273439029164,0.192608914456216,0.343174390385475,1.27977459446015,391,91,"dpp;Dr;fzy;twe;polo;spn-B;stg;sub;Ubc6;Zw10;Wnt5;BRWD3;dod;csul;Nlp;Rca1;gbb;Dlc90F;Cdc16;Cdlc2;Mad1;Rad1;CG3793;robl22E;Nek2;Dlic;Sk1;Ndc80"
"GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION",0.076860512403416,0.192652933584532,-0.454666239740925,-1.37869034326872,377,30,"E(z);sax;Cdk2;CycD;Wee1;Rbf;Pten;Kank;SoxN;wcy;CG3165"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.0768778191802314,0.192652933584532,0.412189648864438,1.35026426238783,391,45,"Dll;cv-2;fy;sog;CrebA;N;Wnt5;eff;Sema1a;sty;Dad;bon"
"GOBP_ECTODERM_DEVELOPMENT",0.0771561300747324,0.192713788565269,-0.547596687389849,-1.43134699463466,381,16,"arm;fz;pnt;mew;hh;Lim1;Smurf"
"GOBP_KETONE_BIOSYNTHETIC_PROCESS",0.0771641206423815,0.192713788565269,0.443999508579495,1.37174696164408,393,34,"Dab;dpp;Wnt5;dare;gbb;Actbeta;heix;Coq7;Coq6;CG6565;CG17597;Coq3"
"GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",0.077088212334114,0.192713788565269,0.369174910889958,1.30632852805778,394,67,"Appl;Pka-C1;dnc;Ca-alpha1D;sl;Zw;porin;trpl;CanB;Dop1R1;Pp2B-14D;CalpA;Calx;CanB2;Ork1;14-3-3epsilon;Pdk1;Spg7;CG7601;Fmr1;SK;Atg5"
"GOBP_REGULATION_OF_KINASE_ACTIVITY",0.0770564438451165,0.192713788565269,0.312413584851776,1.24761392812393,399,140,"Acph-1;crp;twe;pbl;stg;Ptp10D;Ten-m;Wnt5;CG10939;Cdc37;Sap47;Chi;Ptp69D;Rho1;Nlp;loco;Abi;Vps25;Pka-R2;CG32809;Ac78C;Sirt1;Mekk1;Taf7;CycK;JTBR;Adar;Traf4;Tak1"
